machine; formula_tape; num_steps_until_formula_tape; num_macro_steps_until_special_case
1RB---_0RC0LC_1LD1RA_0LE0RB_1LB0RD; .011101(1011101)A>.; 185; 63
1RB---_0RC0LC_1LD1RA_0LE0RB_1LB1LB; .011101(1011101)A>.; 165; 57
1RB---_0RC0LC_1LD1RA_0LE0RE_1LA1LD; .<A10101(0101).; 67; 26
1RB---_0RC0LC_1LD1RA_0LE0LD_0RA1LB; .011101(1011101)A>.; 215; 74
1RB---_0RC0LC_1LD1RA_0LE0LD_0RB1LB; .0011011101(1011101)A>.; 294; 100
1RB---_0RC0LC_1LD1RA_0LE0LD_1RA1LB; .1110111011101(10111011011101)A>.; 608; 201
1RB---_0RC0LC_1LD1RA_0LE0LD_1RD1LB; .011101(10111011011101)A>.; 481; 157
1RB---_0RC0LC_1LD1RA_0LE0LD_1LB0RD; .011101(10111011011101)A>.; 541; 173
1RB---_0RC0LC_1LD1RA_0LE0LD_1LB1LB; .011101(10111011011101)A>.; 473; 153
1RB---_0RC0LC_1LD1RA_0LE0LE_1LA1LD; .<A10101(0101).; 57; 22
1RB---_0RC0LC_1LD1RA_1RE0LD_0RB1LD; .1(11)001(101)A>.; 161; 61
1RB---_0RC0LC_1LD1RA_1RE0LE_1LA1LD; .<A10101(0101).; 71; 26
1RB---_0RC0LC_1LD1RC_1RE1LE_0LA1LB; .<A0110111(111).; 82; 28
1RB---_0RC0LC_1LD1RE_1LB0RB_0RD0RA; .01010101010(1010)A>.; 122; 39
1RB---_0RC0LC_1LD1RE_1LB0RB_0RD1RA; .01110011(10011)A>.; 175; 65
1RB---_0RC0LD_0RD0RA_0LE1RD_1LA1LB; .<A100100(0100).; 101; 38
1RB---_0RC0LD_0RD0RA_1LE1LB_1LA---; .<B1010101(0101).; 98; 37
1RB---_0RC0LD_0RD0LA_1LE1RD_1LA1LB; .<A110111(111111111111).; 587; 187
1RB---_0RC0LD_0RD1RB_0RE0LA_1LE1LB; .<B11111(111).; 77; 29
1RB---_0RC0LD_0RD1RB_1RE0LE_1LB---; .<B10011(0011)1.; 138; 52
1RB---_0RC0LD_0RD1RB_1LD1RE_1RA0LE; .11011(011011)A>.; 168; 58
1RB---_0RC0LD_0RD1RC_0RE0LA_1LE0LB; .011000101(011)C>.; 72; 15
1RB---_0RC0LD_0RD1RC_0LE1RA_1LB1LE; .<B11(11)0010.; 64; 25
1RB---_0RC0LD_0RD1RD_0LE1LB_1LA0RA; .<A100100(0100).; 89; 34
1RB---_0RC0LD_0LD0RE_0LE1LC_0RA1LD; .0100010(0010)C>.; 89; 31
1RB---_0RC0LD_1RD0RA_1LE1LB_1LA0LB; .<B1010101(0101).; 116; 43
1RB---_0RC0LD_1RD0RA_1LE1LB_1LA0LD; .<B1010101(0101).; 92; 35
1RB---_0RC0LD_1RD0RA_1LE1LB_1LA1RD; .<B1010101(0101).; 104; 39
1RB---_0RC0LD_1RD0RA_1LE1LB_1LA1LA; .<B1010101(0101).; 98; 37
1RB---_0RC0LD_1RD0RE_1LE0RA_0LB0LD; .<B0100101010(0100101010)100101(11)0101.; 831; 300
1RB---_0RC0LD_1RD0LA_1LE0RB_0LC0RB; .<A0010(010).; 63; 23
1RB---_0RC0LD_1RD0LA_1LE0RB_1LA0LD; .<A110101(0101).; 67; 26
1RB---_0RC0LD_1RD0LB_1RE0LE_1LC1RA; .<B01010001000101(01000101).; 351; 121
1RB---_0RC0LD_1RD0LE_1LB1RA_1LC1RE; .<C101111111111111111111111(1111)0.; 871; 162
1RB---_0RC0LD_1RD1RA_0LE0RA_1RB1LD; .10(1010)C>.; 40; 16
1RB---_0RC0LD_1RD1RA_0LE0RA_1LA1LD; .<A101010(1010).; 63; 24
1RB---_0RC0LD_1RD1RA_0LE0RD_1LB1RE; .01101101101101(101101)A>.; 361; 106
1RB---_0RC0LD_1RD1RA_1LE0RA_1LA0LD; .<A110101(0101).; 69; 27
1RB---_0RC0LD_1RD1RB_1LE1LB_1RC1LA; .<B101010101(01010101).; 215; 76
1RB---_0RC0LD_1RD1RE_0LE0RA_1RB1LD; .10(1010)C>.; 40; 16
1RB---_0RC0LD_1RD1RE_1LC1RA_0RB1LE; .1111(111111111111111111)010B>.; 1257; 412
1RB---_0RC0LD_1RD1LE_1LE1RA_1RD0LC; .1(1111)B>.; 47; 19
1RB---_0RC0LD_1LA0RA_1RB1LE_0LD1LA; .<A110(1010).; 77; 29
1RB---_0RC0LD_1LA0RA_1RB1LE_0LD1LD; .1(1001)0C>.; 60; 23
1RB---_0RC0LD_1LA0RB_1LC0LE_1RA1LB; .<A110100(10100).; 107; 34
1RB---_0RC0LD_1LA0RD_0RB1LE_1LC0LA; .<A010(110).; 47; 17
1RB---_0RC0LD_1LA0RD_1RB1LE_0LD1LA; .<A110(1010).; 77; 29
1RB---_0RC0LD_1LA0LB_1RE1RD_1LC0RA; .(110110)A>.; 88; 31
1RB---_0RC0LD_1LB1RD_1RE0LB_1RC0RA; .0110110110110(110110110110)A>.; 1473; 497
1RB---_0RC0LD_1LD0RA_1RB1LE_0LD1LA; .<A110(1010).; 77; 29
1RB---_0RC0LD_1LD0RA_1RB1LE_0LD1LD; .1(1001)0C>.; 60; 23
1RB---_0RC0LD_1LD0RC_0LE1RE_1RA0LC; .1111111(1111)A>.; 120; 43
1RB---_0RC0LD_1LD0RD_1RB1LE_0LD1LA; .<A110(1010).; 77; 29
1RB---_0RC0LD_1LD0RE_0LE0LC_1RA0RA; .0110011(0011)B>.; 119; 36
1RB---_0RC0LD_1LD1RA_0LE0RA_1RB0LB; .<B001(0101).; 63; 24
1RB---_0RC0LD_1LD1RA_0LE0RA_1RB1LD; .1(0101)B>.; 35; 14
1RB---_0RC0LD_1LD1RA_0LE0RA_1LA0LB; .<A10101(0101).; 75; 28
1RB---_0RC0LD_1LD1RA_0LE0RA_1LA1LD; .<A10101(0101).; 57; 22
1RB---_0RC0LD_1LD1RA_0LE0RB_1RB1LD; .(101101)A>.; 62; 20
1RB---_0RC0LD_1LD1RA_0LE0RE_1RB0LB; .<B001(0101).; 63; 24
1RB---_0RC0LD_1LD1RE_0LE0RA_1RB1LD; .1(0101)B>.; 35; 14
1RB---_0RC0LE_0RD0RA_1RE0LC_1LB1RC; .1001011(011)C>.; 105; 33
1RB---_0RC0LE_0RD0RA_1RE1RE_1LB1RC; .1001011(011)C>.; 93; 29
1RB---_0RC0LE_0RD0RA_1LC1RE_1LB1RC; .1001011(011)C>.; 107; 33
1RB---_0RC0LE_0RD0LA_1LD1LB_---0RD; .<B1111(111).; 67; 25
1RB---_0RC0LE_0RD0LD_0LE0RA_1LA1LC; .<A100100(0100).; 73; 28
1RB---_0RC0LE_0RD0LE_1RE1RA_1LC0LC; .<C10110001000(1000).; 244; 68
1RB---_0RC0LE_0RD1RA_1RE---_1LB0LE; .<B100100100(100)0.; 135; 33
1RB---_0RC0LE_0RD1RC_1LD1LB_0LA1LD; .<A001110111(01110111).; 294; 104
1RB---_0RC0LE_0RD1LD_1LE0LB_0LA1LB; .<A00111(111).; 90; 32
1RB---_0RC0LE_0LD0RA_1LB1LC_1RC1LE; .<B101010(1010).; 70; 26
1RB---_0RC0LE_0LD0RA_1LB1LE_1LC0RA; .<B101(0101)101010.; 147; 57
1RB---_0RC0LE_0LD0RA_1LB1LE_1LC0RC; .<B101(0101)101010.; 195; 77
1RB---_0RC0LE_0LD0RA_1LB1LE_1LC1LB; .<B101(0101)101010.; 171; 67
1RB---_0RC0LE_0LD0RE_1RC1LB_1RA0LC; .0011001(1001)A>.; 100; 31
1RB---_0RC0LE_0LD0RE_1LB0LC_1RA1RC; .0011001(1001)A>.; 94; 29
1RB---_0RC0LE_0LD1RC_1LB0RE_1RA0LC; .0011001(1001)A>.; 100; 31
1RB---_0RC0LE_1RD0RA_0LB1RB_1LE1LD; .<B0100(100)00.; 105; 42
1RB---_0RC0LE_1RD0RA_1LB1RD_1RE0LD; .<B10010(010)1.; 121; 45
1RB---_0RC0LE_1RD0RA_1LD1LA_0LC1LB; .<B1010101(0101).; 110; 41
1RB---_0RC0LE_1RD0LA_1RE1RA_1LB0LE; .<B10100010001000(10001000)001001.; 574; 200
1RB---_0RC0LE_1RD0LA_1LB0RB_1LB---; .<B10101(0101).; 58; 22
1RB---_0RC0LE_1RD0LB_1RE0RE_1LC1RA; .111011011101(1011101)A>.; 262; 83
1RB---_0RC0LE_1RD0LC_1LB1RA_1LC0RB; .(1100110011)A>.; 156; 45
1RB---_0RC0LE_1RD0LD_1LC1LB_1RA0RE; .<C10101010(10)010(0)1.; 121; 39
1RB---_0RC0LE_1RD0LE_1RE1RA_1LC0LD; .11101110111011(10111011)A>.; 356; 111
1RB---_0RC0LE_1RD0LE_1LB1RA_1LC0LD; .<B1001000100(01000100)1.; 320; 114
1RB---_0RC0LE_1RD1RA_1LB0RB_1LB0LE; .<B10010010010010010(010)1.; 398; 82
1RB---_0RC0LE_1RD1RA_1LB0LD_1LD0RA; .<B1010100101(0101).; 101; 33
1RB---_0RC0LE_1RD1RA_1LB0LD_1LD0LD; .<B10010010010(010)1.; 199; 58
1RB---_0RC0LE_1RD1RA_1LB0LD_1LE0LD; .<B10010010010(010)1.; 199; 58
1RB---_0RC0LE_1RD1RA_1LB1RB_0LE0LD; .<B100(100100)01.; 128; 52
1RB---_0RC0LE_1RD1RA_1LB1RB_1LD0LD; .<B100(100100)01.; 142; 58
1RB---_0RC0LE_1RD1RA_1LB1RD_0LD0RE; .01101101101101(101101)A>.; 353; 104
1RB---_0RC0LE_1RD1RA_1LE0RB_1LB0LE; .<B10010010010010010(010)1.; 398; 82
1RB---_0RC0LE_1RD1RA_1LE0LD_1LB0LE; .<B10010010010(010)1.; 199; 58
1RB---_0RC0LE_1RD1RA_1LE1RB_0RB0LD; .001101(01101)A>.; 158; 59
1RB---_0RC0LE_1RD1RB_1RE1RA_1LB0LE; .010101(0101010101)1A>.; 387; 145
1RB---_0RC0LE_1RD1RB_1LB0RC_0LD---; .<B10011(0011).; 74; 27
1RB---_0RC0LE_1RD1RC_1LB1LE_0RA1LD; .<B111111(1111)01.; 136; 44
1RB---_0RC0LE_1RD1RE_1LB0RB_1LD0RA; .<B110110011001100110011001(100110011001100110011001).; 2387; 756
1RB---_0RC0LE_1RD1LA_1LB0RB_0LD0LA; .<A00001001(001001).; 180; 62
1RB---_0RC0LE_1RD1LA_1LC0RE_0LA1LB; .<A0010(010010)1.; 166; 58
1RB---_0RC0LE_1RD1LA_1LE0RE_0LA1LB; .<A0010(010010)1.; 172; 60
1RB---_0RC0LE_1RD1LC_1RE1RA_1LB0LE; .<B100010001000(1000100010001000)0001001.; 1190; 420
1RB---_0RC0LE_1LB1RD_1RE0RA_0LB1RC; .0111101011110(1011110)A>.; 440; 127
