machine; formula tape; number steps before formula tape; number macro steps before special case
1RB---_0RC0LD_1LD0RE_0LE0LC_1RA0RA; 0∞0110011(0011)B>0∞; 119; 36
1RB---_0RC0LD_1LD1RA_0LE0RA_1RB0LB; 0∞<B001(0101)0∞; 63; 24
1RB---_0RC0LD_1LD1RA_0LE0RA_1RB1LD; 0∞1(0101)B>0∞; 35; 14
1RB---_0RC0LD_1LD1RA_0LE0RA_1LA0LB; 0∞<A10101(0101)0∞; 75; 28
1RB---_0RC0LD_1LD1RA_0LE0RA_1LA1LD; 0∞<A10101(0101)0∞; 57; 22
1RB---_0RC0LD_1LD1RA_0LE0RB_1RB1LD; 0∞(101101)A>0∞; 62; 20
1RB---_0RC0LD_1LD1RA_0LE0RE_1RB0LB; 0∞<B001(0101)0∞; 63; 24
1RB---_0RC0LD_1LD1RE_0LE0RA_1RB1LD; 0∞1(0101)B>0∞; 35; 14
1RB---_0RC0LE_0RD0RA_1RE0LC_1LB1RC; 0∞1001011(011)C>0∞; 105; 33
1RB---_0RC0LE_0RD0RA_1RE1RE_1LB1RC; 0∞1001011(011)C>0∞; 93; 29
1RB---_0RC0LE_0RD0RA_1LC1RE_1LB1RC; 0∞1001011(011)C>0∞; 107; 33
1RB---_0RC0LE_0RD0LA_1LD1LB_---0RD; 0∞<B1111(111)0∞; 67; 25
1RB---_0RC0LE_0RD0LD_0LE0RA_1LA1LC; 0∞<A100100(0100)0∞; 73; 28
1RB---_0RC0LE_0RD0LE_1RE1RA_1LC0LC; 0∞<C10110001000(1000)0∞; 244; 68
1RB---_0RC0LE_0RD1RA_1RE---_1LB0LE; 0∞<B100100100(100)00∞; 135; 33
1RB---_0RC0LE_0RD1RC_1LD1LB_0LA1LD; 0∞<A001110111(01110111)0∞; 294; 104
1RB---_0RC0LE_0RD1LD_1LE0LB_0LA1LB; 0∞<A00111(111)0∞; 90; 32
1RB---_0RC0LE_0LD0RA_1LB1LC_1RC1LE; 0∞<B101010(1010)0∞; 70; 26
